location,date,total_cases,total_deaths,people_vaccinated,total_cases_change_percentage,total_deaths_change_percentage,people_vaccinated_percentage,attention_score
145,Italy,2021-07-31,4350028.0,128063.0,38570161.0,0.9792831218557674,0.9961190976316344,0.8928253112555066,0.9560758435809694
146,Italy,2021-08-31,4539991.0,129221.0,42733475.0,0.9581578465684183,0.9910386082757446,0.9025748783594126,0.9505904444011919
147,Italy,2021-09-30,4672355.0,130921.0,45284018.0,0.9716708169648924,0.9870150701568121,0.9436767514755426,0.9674542128657491
148,Italy,2021-10-31,4771965.0,132100.0,46660679.0,0.9791259994572467,0.9910749432248297,0.9704963358977267,0.9802324261932677
149,Italy,2021-11-30,5028547.0,133828.0,47262705.0,0.9489749225770386,0.9870879038766177,0.987262134065327,0.9744416535063278
150,Italy,2021-12-31,6125683.0,137402.0,48390891.0,0.8208957270560687,0.9739887337884456,0.9766859841452392,0.9238568149965846
151,Italy,2022-01-28,10683948.0,145537.0,50072932.0,0.5733538763011576,0.9441035612936917,0.9664081783746955,0.8279552053231817
153,Latvia,2021-01-31,66241.0,1195.0,17439.0,0.6175027550912576,0.5313807531380753,0.13366592121107862,0.4275164764801372
154,Latvia,2021-02-28,86186.0,1618.0,46570.0,0.7685819042535911,0.738566131025958,0.37446854197981533,0.6272055257531214
155,Latvia,2021-03-31,102363.0,1899.0,118237.0,0.8419643816613425,0.85202738283307,0.3938699391899321,0.695953901228115
156,Latvia,2021-04-30,118558.0,2131.0,267453.0,0.8634001923109365,0.8911309244486156,0.4420851514097804,0.7322054227231108
157,Latvia,2021-05-31,133199.0,2376.0,508325.0,0.8900817573705508,0.8968855218855218,0.5261456745192544,0.7710376512584424
158,Latvia,2021-06-30,137429.0,2513.0,624559.0,0.9692204702064339,0.945483485873458,0.813894283806654,0.9095327466288486
159,Latvia,2021-07-31,138863.0,2556.0,735308.0,0.9896732750984784,0.9831768388106417,0.8493842036262356,0.9407447725117852
160,Latvia,2021-08-31,142637.0,2578.0,826301.0,0.9735412270308546,0.991466252909232,0.889879111849072,0.9516288639297196
161,Latvia,2021-09-30,158291.0,2717.0,915790.0,0.9011061904972487,0.9488406330511594,0.9022821825964468,0.9174096687149517
162,Latvia,2021-10-31,219139.0,3253.0,1162198.0,0.7223314882334957,0.8352290193667384,0.7879810497006534,0.7818471857669625
163,Latvia,2021-11-30,253659.0,4179.0,1277255.0,0.8639117870842351,0.7784158889686528,0.9099185362359121,0.8507487374296
164,Latvia,2021-12-31,276674.0,4570.0,1314683.0,0.9168154579035255,0.9144420131291029,0.9715307796632344,0.9342627502319543
165,Latvia,2022-01-28,372503.0,4855.0,1336451.0,0.7427430114656794,0.94129763130793,0.9837120852167419,0.8892509093301171
167,Lithuania,2021-01-31,182543.0,2808.0,72484.0,0.7776523887522392,0.6396011396011396,0.13458142486617736,0.5172783177398521
168,Lithuania,2021-02-28,199145.0,3244.0,166519.0,0.9166336086770945,0.8655980271270037,0.43528966664464713,0.7391737674829151
169,Lithuania,2021-03-31,216119.0,3574.0,353432.0,0.9214599364239145,0.9076664801343033,0.4711486226487698,0.7667583464023292
170,Lithuania,2021-04-30,247269.0,3923.0,690014.0,0.8740238363887103,0.9110374713229671,0.5122098971904918,0.7657570683007231
171,Lithuania,2021-05-31,274383.0,4266.0,1020086.0,0.9011819245361411,0.9195968120018753,0.6764272816213535,0.8324020060531233
172,Lithuania,2021-06-30,278769.0,4383.0,1241857.0,0.984266543267006,0.973305954825462,0.8214198575198272,0.9263307852040984
173,Lithuania,2021-07-31,282818.0,4415.0,1415127.0,0.985683372345466,0.9927519818799547,0.8775586926120412,0.9519980156124873
174,Lithuania,2021-08-31,298825.0,4561.0,1659901.0,0.9464335313310466,0.9679894759921069,0.8525369886517329,0.9223199986582955
175,Lithuania,2021-09-30,331683.0,4993.0,1749171.0,0.9009355318180311,0.913478870418586,0.9489643951334661,0.9211262657900278
176,Lithuania,2021-10-31,408715.0,5873.0,1812153.0,0.8115263692303928,0.8501617571939384,0.9652446564942364,0.875644260972856
177,Lithuania,2021-11-30,470298.0,6737.0,1870472.0,0.8690553648962998,0.8717530057889268,0.9688212387033861,0.9032098697962042
178,Lithuania,2021-12-31,519597.0,7387.0,1917650.0,0.905120699311197,0.9120075808853391,0.9753980131932313,0.9308420977965891
179,Lithuania,2022-01-27,639527.0,7815.0,1941070.0,0.8124707791852416,0.945233525271913,0.9879344897401948,0.9152129313991164
181,Luxembourg,2021-01-30,50388.0,577.0,10752.0,0.9211518615543384,0.8578856152512998,0.11635044642857142,0.6317959744114032
182,Luxembourg,2021-02-27,55110.0,637.0,27101.0,0.9143168209036473,0.9058084772370487,0.3967381277443637,0.7389544752950199
183,Luxembourg,2021-03-31,61642.0,746.0,73151.0,0.8940332889912722,0.853887399463807,0.3704802395045864,0.706133642653222
184,Luxembourg,2021-04-30,67205.0,796.0,144385.0,0.9172234208764228,0.9371859296482412,0.5066385012293521,0.787015950584672
185,Luxembourg,2021-05-31,69932.0,815.0,229698.0,0.9610049762626551,0.9766871165644172,0.6285862306158522,0.8554261078143082
186,Luxembourg,2021-06-30,70787.0,818.0,341052.0,0.987921511011909,0.9963325183374083,0.6734984694416101,0.8859174995969757
187,Luxembourg,2021-07-31,73870.0,822.0,393353.0,0.958264518749154,0.9951338199513382,0.8670380040320018,0.940145447577498
188,Luxembourg,2021-08-31,75760.0,830.0,406751.0,0.9750527983104541,0.9903614457831326,0.9670609291679676,0.977491724420518
189,Luxembourg,2021-09-30,78219.0,835.0,418584.0,0.9685626254490597,0.9940119760479041,0.971730883168014,0.9781018282216593
190,Luxembourg,2021-10-30,81683.0,843.0,433758.0,0.9575921550383801,0.9905100830367735,0.9650173599103647,0.9710398659951728
191,Luxembourg,2021-11-30,89181.0,875.0,446898.0,0.9159237954272771,0.9634285714285714,0.9705973175086933,0.9499832281215138
192,Luxembourg,2021-12-31,103766.0,915.0,464443.0,0.8594433629512557,0.9562841530054644,0.9622235667240113,0.9259836942269105
193,Luxembourg,2022-01-22,137570.0,943.0,474517.0,0.7542778221996075,0.9703075291622482,0.9787699913807092,0.9011184475808549
195,Malta,2021-02-28,22482.0,315.0,51576.0,0.7963259496486078,0.8476190476190476,0.46166821777570966,0.7018710716811217
196,Malta,2021-03-31,29033.0,392.0,142805.0,0.774360210794613,0.8035714285714286,0.3611638247960506,0.6463651547206974
197,Malta,2021-04-30,30292.0,413.0,228810.0,0.9584378713851842,0.9491525423728814,0.6241204492810629,0.8439036210130428
198,Malta,2021-05-31,30535.0,419.0,318743.0,0.9920419191092189,0.9856801909307876,0.7178510586899163,0.8985243895766409
199,Malta,2021-06-30,30623.0,420.0,359169.0,0.9971263429448454,0.9976190476190476,0.8874457428118796,0.9607303777919242
200,Malta,2021-07-31,34295.0,423.0,399690.0,0.8929289983962677,0.9929078014184397,0.8986189296704946,0.9281519098284007
201,Malta,2021-08-31,36171.0,441.0,413985.0,0.948135246468165,0.9591836734693877,0.9654697633972246,0.9575962277782591
202,Malta,2021-09-27,37103.0,457.0,420499.0,0.9748807374066787,0.9649890590809628,0.9845088811150562,0.9747928925342325
203,Malta,2021-10-31,37653.0,461.0,430283.0,0.9853929301782063,0.9913232104121475,0.9772614767490233,0.9846592057797924
204,Malta,2021-11-30,39435.0,468.0,435775.0,0.9548117154811715,0.9850427350427351,0.9873971659686765,0.975750538830861
205,Malta,2021-12-31,52473.0,476.0,444615.0,0.75152935795552,0.9831932773109243,0.9801176298595414,0.9049467550419953
206,Malta,2022-01-27,66938.0,541.0,463231.0,0.7839045086497953,0.8798521256931608,0.9598127068352507,0.874523113726069
208,Norway,2021-01-31,62966.0,564.0,111617.0,0.7872026172855192,0.7730496453900709,0.021573774604226954,0.5272753457599391
209,Norway,2021-02-28,71006.0,622.0,342014.0,0.8867701321015126,0.9067524115755627,0.3263521376317928,0.7066248937696228
210,Norway,2021-03-31,96079.0,673.0,708413.0,0.7390376669199304,0.924219910846954,0.4827889945554359,0.7153488574407735
211,Norway,2021-04-30,112970.0,756.0,1408355.0,0.8504824289634416,0.8902116402116402,0.5030074093534656,0.7479004928428491
212,Norway,2021-05-31,125116.0,783.0,1671394.0,0.9029220883020557,0.9655172413793104,0.8426229841677068,0.903687437949691
213,Norway,2021-06-30,131316.0,794.0,2677146.0,0.9527856468366384,0.9861460957178841,0.6243193311085761,0.8544170245543662
214,Norway,2021-07-31,137627.0,799.0,3617268.0,0.9541441722917742,0.9937421777221527,0.7401016457724449,0.8959959985954572
215,Norway,2021-08-31,160174.0,814.0,3882703.0,0.8592343326632287,0.9815724815724816,0.931636542892928,0.924147785709546
216,Norway,2021-09-30,189431.0,861.0,4180055.0,0.8455532621376649,0.9454123112659698,0.9288640938935014,0.9066098890990454
217,Norway,2021-10-31,207280.0,900.0,4214174.0,0.9138894249324585,0.9566666666666667,0.9919037514824969,0.9541532810272074
218,Norway,2021-11-30,267843.0,1054.0,4246891.0,0.7738861945244042,0.8538899430740038,0.992296246830917,0.8733574614764418
219,Norway,2021-12-31,394259.0,1305.0,4286789.0,0.6793579854866978,0.8076628352490421,0.9906928006020357,0.8259045404459252
220,Norway,2022-01-27,714532.0,1439.0,4313067.0,0.5517723488941013,0.9068797776233496,0.9939073517754303,0.8175198260976271
222,Poland,2021-01-31,1513385.0,37180.0,976367.0,0.8556170439114964,0.7679935449166219,0.048752159792373156,0.5574542495401639
223,Poland,2021-02-28,1706986.0,43769.0,2149607.0,0.8865831354211459,0.8494596632319679,0.4542072108994807,0.7300833365175315
224,Poland,2021-03-31,2321717.0,53045.0,4231313.0,0.7352256971887616,0.8251296069375059,0.5080236323807764,0.689459645502348
225,Poland,2021-04-29,2785353.0,67073.0,8597875.0,0.8335449761663961,0.7908547403575209,0.49213474259628104,0.7055114863733993
226,Poland,2021-05-31,2872283.0,73745.0,13707350.0,0.9697348764031957,0.9095260695640383,0.6272456018121665,0.8355021825931335
227,Poland,2021-06-30,2879912.0,75021.0,16890799.0,0.9973509607237999,0.982991429066528,0.8115276251881276,0.9306233383261517
